DaysSinceLastElection,NextElection,TransactionAmountAdj
909,2000,1430
947,2000,1430
1134,2000,7150
959,2000,715
1045,2000,5720
938,2000,6921.2
941,2000,7150
959,2000,1430
945,2000,7150
953,2000,1430
869,2000,1430
891,2000,1430
953,2000,1430
930,2000,143
916,2000,969.54
930,2000,14.3
916,2000,1387.1
1011,2000,1430
980,2000,7150
986,2000,1430
1003,2000,1430
887,2000,715
888,2000,6422.13
887,2000,1430
887,2000,1430
857,2000,715
958,2000,1430
959,2000,1430
941,2000,1430
941,2000,1430
939,2000,1430
953,2000,1430
931,2000,1430
959,2000,-1430
952,2000,1430
959,2000,2860
954,2000,7150
945,2000,7150
1136,2000,-1430
1120,2000,1430
1060,2000,500.5
1141,2000,1151.15
1100,2000,2422.42
855,2000,7150
966,2000,1430
1108,2000,1430
919,2000,7150
919,2000,7150
919,2000,1430
938,2000,2860
944,2000,4290
959,2000,2860
952,2000,7078.5
958,2000,2860
913,2000,1430
897,2000,1430
1120,2000,1430
1140,2000,1430
1112,2000,2860
1003,2000,1430
1112,2000,2860
958,2000,7150
1056,2000,5720
974,2000,1430
897,2000,2860
897,2000,1430
931,2000,7150
962,2000,1430
899,2000,1430
951,2000,7150
1135,2000,2860
1056,2000,4290
1092,2000,1430
1056,2000,2860
871,2000,2860
1022,2000,715
902,2000,3575
1107,2000,357.5
895,2000,2860
945,2000,1430
912,2000,1430
897,2000,7150
934,2000,2860
877,2000,3575
933,2000,1430
1143,2000,1430
1120,2000,1430
888,2000,1430
877,2000,1430
959,2000,7150
951,2000,1430
940,2000,7150
876,2000,7150
875,2000,1430
892,2000,1430
966,2000,1430
943,2000,7150
961,2000,1430
934,2000,-5720
940,2000,5720
876,2000,7150
903,2000,1430
959,2000,1430
1130,2000,1430
1058,2000,1430
1128,2000,122.98
1136,2000,839.41
1132,2000,424.71
1133,2000,5005
1125,2000,145.86
1139,2000,15.73
855,2000,2860
871,2000,7150
932,2000,7150
926,2000,1430
1015,2000,1430
1141,2000,4290
1046,2000,1430
960,2000,5720
953,2000,4290
892,2000,7150
881,2000,7150
890,2000,7150
876,2000,1430
961,2000,7150
867,2000,7150
938,2000,1430
938,2000,1430
882,2000,208.78
884,2000,3575
863,2000,715
1107,2000,357.5
1049,2000,715
1036,2000,1430
909,2000,-1430
1102,2000,1430
833,2000,2860
989,2000,3575
952,2000,1430
952,2000,1430
895,2000,7150
932,2000,7150
930,2000,7150
891,2000,2860
861,2000,7150
967,2000,-143
945,2000,7150
812,2000,1430
954,2000,3575
861,2000,1430
923,2000,1430
1032,2000,7150
1070,2000,1430
975,2000,1430
1063,2000,1430
980,2000,1430
1015,2000,1430
939,2000,1430
863,2000,7150
1129,2000,1430
1134,2000,2860
1147,2000,7150
973,2000,2860
1151,2000,4290
966,2000,2860
953,2000,7150
892,2000,715
849,2000,7150
962,2000,7150
967,2000,1430
966,2000,5720
930,2000,7150
883,2000,1430
1147,2000,2855.71
1147,2000,950.95
870,2000,7150
993,2000,7150
1085,2000,715
1079,2000,2860
1006,2000,715
1143,2000,439.01
1127,2000,1430
813,2000,7150
1056,2000,715
961,2000,2860
1058,2000,2860
1128,2000,4290
961,2000,1430
853,2000,2542.54
951,2000,1430
958,2000,7150
932,2000,7150
925,2000,2860
918,2000,1430
918,2000,2860
918,2000,5720
919,2000,7150
932,2000,7150
945,2000,1430
959,2000,1430
953,2000,7150
934,2000,1430
1106,2000,5720
1108,2000,2860
1050,2000,2860
860,2000,1630.2
897,2000,3575
945,2000,7150
1140,2000,2860
1128,2000,1430
959,2000,3575
939,2000,1430
917,2000,1430
913,2000,7150
873,2000,1430
927,2000,7150
961,2000,1430
961,2000,1430
965,2000,1430
856,2000,7150
967,2000,2210.78
939,2000,7150
822,2000,2860
947,2000,1430
973,2000,7150
1100,2000,7150
1106,2000,1430
993,2000,1430
1151,2000,-7150
965,2000,7150
1028,2000,2860
1064,2000,2860
913,2000,1430
909,2000,1430
868,2000,1430
861,2000,1430
951,2000,1430
966,2000,1430
1121,2000,1430
1044,2000,1430
994,2000,7150
1106,2000,7150
1107,2000,1430
1007,2000,7150
961,2000,1430
1129,2000,1430
868,2000,7150
869,2000,7150
889,2000,2860
904,2000,143
904,2000,14.3
897,2000,1923.35
883,2000,143
883,2000,14.3
953,2000,1430
988,2000,143
958,2000,4290
861,2000,1430
941,2000,1430
869,2000,1430
934,2000,7150
932,2000,1430
925,2000,1430
790,2000,7150
1056,2000,572
884,2000,3575
966,2000,7150
876,2000,7150
872,2000,6939.79
959,2000,4290
854,2000,4290
965,2000,1430
958,2000,1174.03
931,2000,2860
1073,2000,1430
1073,2000,5720
1014,2000,7150
863,2000,7150
924,2000,1430
993,2000,1430
1058,2000,1430
1085,2000,1430
1100,2000,7150
1141,2000,1078.22
1101,2000,963.82
1107,2000,1430
919,2000,1430
939,2000,1430
997,2000,-7150
927,2000,2860
959,2000,7150
916,2000,1430
871,2000,7150
861,2000,7150
983,2000,7150
931,2000,5720
910,2000,1430
1150,2000,7150
1130,2000,1430
1101,2000,2860
926,2000,7150
855,2000,7150
951,2000,2860
948,2000,1430
932,2000,7150
965,2000,2860
909,2000,1430
961,2000,1430
863,2000,7150
862,2000,7150
890,2000,1430
965,2000,715
954,2000,7150
1050,2000,1430
1093,2000,715
948,2000,1430
965,2000,1430
976,2000,1430
1133,2000,5720
962,2000,1430
944,2000,7150
1059,2000,-7150
1059,2000,7150
1059,2000,7150
1063,2000,1430
891,2000,2860
958,2000,1430
953,2000,1430
931,2000,1430
958,2000,7150
962,2000,1430
903,2000,1430
1067,2000,1430
1058,2000,715
1107,2000,4290
1151,2000,-1430
1095,2000,7150
941,2000,1430
945,2000,918.06
917,2000,858
911,2000,2860
947,2000,1430
821,2000,2860
958,2000,4290
945,2000,1430
