Month,NextElection,Contribution
12/1/1991 0:00,11/3/1992 0:00,129634.75
1/1/1992 0:00,11/3/1992 0:00,99764.5
2/1/1992 0:00,11/3/1992 0:00,381991.7
3/1/1992 0:00,11/3/1992 0:00,1457925.1
4/1/1992 0:00,11/3/1992 0:00,-850
4/1/1992 0:00,11/3/1992 0:00,888875.6
5/1/1992 0:00,11/3/1992 0:00,765884
6/1/1992 0:00,11/3/1992 0:00,1355268.9
7/1/1992 0:00,11/3/1992 0:00,-8.5
7/1/1992 0:00,11/3/1992 0:00,7608037.2
8/1/1992 0:00,11/3/1992 0:00,7839340.9
9/1/1992 0:00,11/3/1992 0:00,-850
9/1/1992 0:00,11/3/1992 0:00,2826593.4
10/1/1992 0:00,11/3/1992 0:00,6038.4
10/1/1992 0:00,11/3/1992 0:00,26470411
11/1/1992 0:00,11/3/1992 0:00,640044.9
11/1/1992 0:00,11/3/1992 0:00,1373474.2
12/1/1992 0:00,11/5/1996 0:00,-3485
12/1/1992 0:00,11/5/1996 0:00,1721448.9
1/1/1993 0:00,11/5/1996 0:00,21628.2
2/1/1993 0:00,11/5/1996 0:00,94647.3
3/1/1993 0:00,11/5/1996 0:00,67461.9
4/1/1993 0:00,11/5/1996 0:00,3460.05
5/1/1993 0:00,11/5/1996 0:00,17889.3
6/1/1993 0:00,11/5/1996 0:00,-314570.85
7/1/1993 0:00,11/5/1996 0:00,3229.05
8/1/1993 0:00,11/5/1996 0:00,-135725.7
8/1/1993 0:00,11/5/1996 0:00,69.3
9/1/1993 0:00,11/5/1996 0:00,-94267.8
9/1/1993 0:00,11/5/1996 0:00,99
10/1/1993 0:00,11/5/1996 0:00,9570
11/1/1993 0:00,11/5/1996 0:00,21450
12/1/1993 0:00,11/5/1996 0:00,-825
12/1/1993 0:00,11/5/1996 0:00,-183150
12/1/1993 0:00,11/5/1996 0:00,214.5
1/1/1994 0:00,11/5/1996 0:00,4292.26
2/1/1994 0:00,11/5/1996 0:00,24150
3/1/1994 0:00,11/5/1996 0:00,58319.03
4/1/1994 0:00,11/5/1996 0:00,-184721.74
5/1/1994 0:00,11/5/1996 0:00,21735
6/1/1994 0:00,11/5/1996 0:00,14490
7/1/1994 0:00,11/5/1996 0:00,7647.5
8/1/1994 0:00,11/5/1996 0:00,1344.35
9/1/1994 0:00,11/5/1996 0:00,33692.47
10/1/1994 0:00,11/5/1996 0:00,10465
11/1/1994 0:00,11/5/1996 0:00,-24805.27
12/1/1994 0:00,11/5/1996 0:00,2511.6
12/1/1994 0:00,11/5/1996 0:00,61714.52
1/1/1995 0:00,11/5/1996 0:00,61854
2/1/1995 0:00,11/5/1996 0:00,256011.6
3/1/1995 0:00,11/5/1996 0:00,432800.16
4/1/1995 0:00,11/5/1996 0:00,411081.84
5/1/1995 0:00,11/5/1996 0:00,-4680
5/1/1995 0:00,11/5/1996 0:00,328493.88
6/1/1995 0:00,11/5/1996 0:00,771345.12
7/1/1995 0:00,11/5/1996 0:00,137523.36
8/1/1995 0:00,11/5/1996 0:00,162385.08
9/1/1995 0:00,11/5/1996 0:00,195829.92
10/1/1995 0:00,11/5/1996 0:00,200031
11/1/1995 0:00,11/5/1996 0:00,226256.16
12/1/1995 0:00,11/5/1996 0:00,197789.28
1/1/1996 0:00,11/5/1996 0:00,212724
2/1/1996 0:00,11/5/1996 0:00,421043.04
3/1/1996 0:00,11/5/1996 0:00,-3040
3/1/1996 0:00,11/5/1996 0:00,146567.52
4/1/1996 0:00,11/5/1996 0:00,999033.68
5/1/1996 0:00,11/5/1996 0:00,289804.72
6/1/1996 0:00,11/5/1996 0:00,876880.4
7/1/1996 0:00,11/5/1996 0:00,1082747.68
8/1/1996 0:00,11/5/1996 0:00,10511035.6
9/1/1996 0:00,11/5/1996 0:00,781743.6
10/1/1996 0:00,11/5/1996 0:00,17065038.48
11/1/1996 0:00,11/5/1996 0:00,542925.76
11/1/1996 0:00,11/5/1996 0:00,1283869.52
12/1/1996 0:00,11/7/2000 0:00,1361675.28
1/1/1997 0:00,11/7/2000 0:00,959512.12
2/1/1997 0:00,11/7/2000 0:00,41718.24
3/1/1997 0:00,11/7/2000 0:00,14869.56
4/1/1997 0:00,11/7/2000 0:00,29104.2
5/1/1997 0:00,11/7/2000 0:00,10502.08
6/1/1997 0:00,11/7/2000 0:00,1478142.6
7/1/1997 0:00,11/7/2000 0:00,37466.2
8/1/1997 0:00,11/7/2000 0:00,2621.08
9/1/1997 0:00,11/7/2000 0:00,61757.44
10/1/1997 0:00,11/7/2000 0:00,208018.44
11/1/1997 0:00,11/7/2000 0:00,127650
12/1/1997 0:00,11/7/2000 0:00,68617.24
1/1/1998 0:00,11/7/2000 0:00,39858
